,oid,eid,stayId
349,28,17,61
350,28,18,6
351,28,19,167
352,28,20,7
353,28,21,9
354,29,0,0
355,29,1,1
356,29,2,67
357,29,3,168
358,29,4,6
359,29,5,74
360,29,6,7
361,29,7,169
362,29,8,25
363,29,9,85
364,29,10,6
365,29,11,7
366,29,12,170
367,29,13,6
368,29,14,171
369,29,15,7
370,29,16,15
371,30,0,16
372,30,1,66
373,30,2,101
374,30,3,172
375,30,4,45
376,30,5,76
377,30,6,173
378,30,7,6
379,30,8,174
380,30,9,7
381,30,10,175
382,30,11,176
383,30,12,6
384,30,13,177
385,30,14,7
386,30,15,178
387,30,16,179
388,30,17,23
389,31,0,0
390,31,1,17
391,31,2,60
392,31,3,180
393,31,4,181
394,31,5,182
395,31,6,183
396,31,7,140
397,31,8,23
398,32,0,0
399,32,1,66
400,32,2,6
401,32,3,184
402,32,4,185
403,32,5,7
404,32,6,25
405,32,7,6
406,32,8,186
407,32,9,7
408,32,10,63
409,32,11,6
410,32,12,74
411,32,13,7
412,32,14,21
413,32,15,23
414,33,0,0
415,33,1,66
416,33,2,187
417,33,3,188
418,33,4,189
419,33,5,25
420,33,6,190
421,33,7,191
422,33,8,6
423,33,9,192
424,33,10,7
425,33,11,15
426,34,0,24
427,34,1,193
428,34,2,194
429,34,3,195
430,34,4,196
431,34,5,197
432,34,6,109
433,34,7,23
434,35,0,0
435,35,1,66
436,35,2,198
437,35,3,199
438,35,4,200
439,35,5,201
440,35,6,53
441,35,7,202
442,35,8,6
443,35,9,7
444,35,10,9
445,36,0,16
446,36,1,17
447,36,2,203
448,36,3,204
449,36,4,9
450,37,0,24
451,37,1,10
452,37,2,205
453,37,3,193
454,37,4,206
455,37,5,193
456,37,6,207
457,37,7,15
458,38,0,24
459,38,1,10
460,38,2,208
461,38,3,21
462,38,4,152
463,38,5,53
464,38,6,6
465,38,7,7
466,38,8,125
467,38,9,6
468,38,10,7
469,38,11,15
470,39,0,24
471,39,1,17
472,39,2,196
473,39,3,209
474,39,4,12
475,39,5,210
476,39,6,30
477,39,7,211
478,39,8,6
479,39,9,212
480,39,10,7
481,39,11,133
482,39,12,109
483,39,13,6
484,39,14,213
485,39,15,7
486,39,16,214
487,39,17,196
488,39,18,60
489,39,19,215
490,39,20,216
491,39,21,6
492,39,22,217
493,39,23,7
494,39,24,9
495,40,0,47
496,40,1,218
497,40,2,219
498,40,3,220
499,40,4,51
500,40,5,52
501,40,6,221
502,40,7,222
503,40,8,51
504,40,9,223
505,40,10,52
506,40,11,191
507,40,12,224
508,40,13,225
509,40,14,91
510,40,15,226
511,40,16,43
512,40,17,227
513,40,18,65
514,41,0,24
515,41,1,66
516,41,2,228
517,41,3,229
518,41,4,230
519,41,5,231
520,41,6,232
521,41,7,6
522,41,8,233
523,41,9,74
524,41,10,234
525,41,11,7
526,41,12,235
527,41,13,6
528,41,14,130
529,41,15,236
530,41,16,7
531,41,17,237
532,41,18,15
533,42,0,0
534,42,1,1
535,42,2,209
536,42,3,238
537,42,4,239
538,42,5,21
539,42,6,240
540,42,7,241
541,42,8,6
542,42,9,129
543,42,10,74
544,42,11,242
545,42,12,7
546,42,13,243
547,42,14,6
548,42,15,130
549,42,16,7
550,42,17,4
551,42,18,216
552,42,19,44
553,42,20,244
554,42,21,15
555,43,0,0
556,43,1,17
557,43,2,245
558,43,3,6
559,43,4,246
560,43,5,247
561,43,6,74
562,43,7,130
563,43,8,248
564,43,9,7
565,43,10,96
566,43,11,6
567,43,12,74
568,43,13,7
569,43,14,23
570,44,0,16
571,44,1,1
572,44,2,81
573,44,3,249
574,44,4,250
575,44,5,60
576,44,6,251
577,44,7,23
578,45,0,24
579,45,1,1
580,45,2,6
581,45,3,252
582,45,4,7
583,45,5,253
584,45,6,145
585,45,7,254
586,45,8,26
587,45,9,255
588,45,10,256
589,45,11,15
590,46,0,0
591,46,1,1
592,46,2,257
593,46,3,258
594,46,4,250
595,46,5,259
596,46,6,6
597,46,7,260
598,46,8,7
599,46,9,188
600,46,10,261
601,46,11,262
602,46,12,6
603,46,13,263
604,46,14,7
605,46,15,264
606,46,16,265
607,46,17,63
608,46,18,6
609,46,19,7
610,46,20,266
611,46,21,15
612,47,0,16
613,47,1,1
614,47,2,267
615,47,3,268
616,47,4,269
617,47,5,29
618,47,6,270
619,47,7,271
620,47,8,6
621,47,9,272
622,47,10,7
623,47,11,9
624,48,0,0
625,48,1,273
626,48,2,274
627,48,3,275
628,48,4,276
629,48,5,277
630,48,6,109
631,48,7,278
632,48,8,23
633,49,0,0
634,49,1,66
635,49,2,139
636,49,3,27
637,49,4,250
638,49,5,35
639,49,6,159
640,49,7,6
641,49,8,279
642,49,9,7
643,49,10,91
644,49,11,280
645,49,12,6
646,49,13,281
647,49,14,7
648,49,15,282
649,49,16,283
650,49,17,43
651,49,18,6
652,49,19,284
653,49,20,7
654,49,21,109
655,49,22,261
656,49,23,9
657,50,0,24
658,50,1,17
659,50,2,6
660,50,3,285
661,50,4,7
662,50,5,286
663,50,6,101
664,50,7,287
665,50,8,53
666,50,9,6
667,50,10,7
668,50,11,288
669,50,12,9
670,51,0,24
671,51,1,17
672,51,2,109
673,51,3,289
674,51,4,290
675,51,5,168
676,51,6,158
677,51,7,291
678,51,8,6
679,51,9,292
680,51,10,293
681,51,11,7
682,51,12,294
683,51,13,295
684,51,14,43
685,51,15,109
686,51,16,296
687,51,17,6
688,51,18,7
689,51,19,23
690,52,0,0
691,52,1,66
692,52,2,173
693,52,3,25
694,52,4,145
695,52,5,297
696,52,6,298
697,52,7,15
698,53,0,16
699,53,1,10
700,53,2,204
701,53,3,299
702,53,4,300
703,53,5,255
704,53,6,78
705,53,7,23
706,54,0,16
707,54,1,66
708,54,2,301
709,54,3,302
710,54,4,287
711,54,5,83
712,54,6,303
713,54,7,6
714,54,8,304
715,54,9,7
716,54,10,4
717,54,11,78
718,54,12,6
719,54,13,305
720,54,14,7
721,54,15,306
722,54,16,4
723,54,17,194
724,54,18,307
725,54,19,63
726,54,20,6
727,54,21,308
728,54,22,7
729,54,23,23
730,55,0,0
731,55,1,1
732,55,2,309
733,55,3,191
734,55,4,310
735,55,5,6
736,55,6,7
737,55,7,15
738,56,0,0
739,56,1,10
740,56,2,311
741,56,3,312
742,56,4,313
743,56,5,140
744,56,6,118
745,56,7,314
746,56,8,315
747,56,9,316
748,56,10,9
749,57,0,16
750,57,1,17
751,57,2,196
752,57,3,317
753,57,4,318
754,57,5,269
755,57,6,21
756,57,7,319
757,57,8,6
758,57,9,320
759,57,10,7
760,57,11,23
761,58,0,0
762,58,1,10
763,58,2,321
764,58,3,172
765,58,4,84
766,58,5,6
767,58,6,322
768,58,7,7
769,58,8,323
770,58,9,6
771,58,10,324
772,58,11,7
773,58,12,60
774,58,13,325
775,58,14,6
776,58,15,326
777,58,16,7
778,58,17,327
779,58,18,244
780,58,19,6
781,58,20,328
782,58,21,7
783,58,22,329
784,58,23,6
785,58,24,7
786,58,25,330
787,58,26,6
788,58,27,7
789,58,28,15
790,59,0,24
791,59,1,1
792,59,2,18
793,59,3,331
794,59,4,332
795,59,5,21
796,59,6,333
797,59,7,6
798,59,8,334
799,59,9,335
800,59,10,7
801,59,11,4
802,59,12,336
803,59,13,337
804,59,14,196
805,59,15,338
806,59,16,339
807,59,17,4
808,59,18,63
809,59,19,6
810,59,20,340
811,59,21,7
812,59,22,23
813,60,0,0
814,60,1,6
815,60,2,341
816,60,3,7
817,60,4,342
818,60,5,6
819,60,6,343
820,60,7,344
821,60,8,7
822,60,9,345
823,60,10,23
824,61,0,0
825,61,1,10
826,61,2,6
827,61,3,346
828,61,4,7
829,61,5,347
830,61,6,348
831,61,7,84
832,61,8,270
833,61,9,349
834,61,10,22
835,61,11,6
836,61,12,350
837,61,13,305
838,61,14,7
839,61,15,351
840,61,16,165
841,61,17,109
842,61,18,244
843,61,19,6
844,61,20,352
845,61,21,7
846,61,22,43
847,61,23,6
848,61,24,353
849,61,25,7
850,61,26,23
851,62,0,16
852,62,1,66
853,62,2,172
854,62,3,21
855,62,4,83
856,62,5,323
857,62,6,6
858,62,7,7
859,62,8,23
860,63,0,24
861,63,1,10
862,63,2,6
863,63,3,7
864,63,4,354
865,63,5,355
866,63,6,19
867,63,7,6
868,63,8,7
869,63,9,356
870,63,10,23
871,64,0,0
872,64,1,66
873,64,2,357
874,64,3,358
875,64,4,172
876,64,5,21
877,64,6,359
878,64,7,180
879,64,8,360
880,64,9,23
881,65,0,47
882,65,1,361
883,65,2,362
884,65,3,219
885,65,4,51
886,65,5,52
887,65,6,145
888,65,7,363
889,65,8,65
890,66,0,16
891,66,1,10
892,66,2,364
893,66,3,200
894,66,4,274
895,66,5,365
896,66,6,21
897,66,7,6
898,66,8,366
899,66,9,367
900,66,10,7
901,66,11,83
902,66,12,178
903,66,13,368
904,66,14,133
905,66,15,6
906,66,16,236
907,66,17,7
908,66,18,137
909,66,19,15
910,67,0,24
911,67,1,10
912,67,2,69
913,67,3,21
914,67,4,369
915,67,5,15
916,68,0,16
917,68,1,1
918,68,2,19
919,68,3,89
920,68,4,359
921,68,5,370
922,68,6,371
923,68,7,6
924,68,8,372
925,68,9,7
926,68,10,25
927,68,11,6
928,68,12,130
929,68,13,373
930,68,14,374
931,68,15,7
932,68,16,375
933,68,17,187
934,68,18,25
935,68,19,4
936,68,20,244
937,68,21,43
938,68,22,6
939,68,23,7
940,68,24,376
941,68,25,9
942,69,0,0
943,69,1,66
944,69,2,377
945,69,3,249
946,69,4,101
947,69,5,314
948,69,6,378
949,69,7,6
950,69,8,7
951,69,9,23
952,70,0,0
953,70,1,6
954,70,2,379
955,70,3,7
956,70,4,380
957,70,5,6
958,70,6,379
959,70,7,7
960,70,8,21
961,70,9,6
962,70,10,7
963,70,11,381
964,70,12,23
965,71,0,16
966,71,1,1
967,71,2,83
968,71,3,382
969,71,4,383
970,71,5,230
971,71,6,6
972,71,7,74
973,71,8,384
974,71,9,7
975,71,10,385
976,71,11,6
977,71,12,386
978,71,13,7
979,71,14,23
980,72,0,16
981,72,1,1
982,72,2,387
983,72,3,388
984,72,4,25
985,72,5,178
986,72,6,61
987,72,7,389
988,72,8,23
989,73,0,0
990,73,1,1
991,73,2,390
992,73,3,321
993,73,4,30
994,73,5,204
995,73,6,391
996,73,7,6
997,73,8,212
998,73,9,392
999,73,10,7
1000,73,11,91
1001,73,12,295
1002,73,13,393
1003,73,14,194
1004,73,15,394
1005,73,16,6
1006,73,17,117
1007,73,18,7
1008,73,19,216
1009,73,20,6
1010,73,21,395
1011,73,22,7
1012,73,23,15
1013,74,0,24
1014,74,1,66
1015,74,2,396
1016,74,3,239
1017,74,4,397
1018,74,5,398
1019,74,6,6
1020,74,7,7
1021,74,8,399
1022,74,9,6
1023,74,10,400
1024,74,11,7
1025,74,12,401
1026,74,13,6
1027,74,14,402
1028,74,15,7
1029,74,16,376
1030,74,17,403
1031,74,18,6
1032,74,19,404
1033,74,20,7
1034,74,21,405
1035,74,22,6
1036,74,23,406
1037,74,24,7
1038,74,25,23
1039,75,0,24
1040,75,1,10
1041,75,2,407
1042,75,3,408
1043,75,4,409
1044,75,5,410
1045,75,6,183
1046,75,7,411
1047,75,8,412
1048,75,9,6
1049,75,10,413
1050,75,11,7
1051,75,12,4
1052,75,13,5
1053,75,14,188
1054,75,15,6
1055,75,16,414
1056,75,17,74
1057,75,18,7
1058,75,19,415
1059,75,20,180
1060,75,21,416
1061,75,22,6
1062,75,23,147
1063,75,24,7
1064,75,25,43
1065,75,26,417
1066,75,27,418
1067,75,28,15
1068,76,0,0
1069,76,1,66
1070,76,2,419
1071,76,3,420
1072,76,4,421
1073,76,5,422
1074,76,6,423
1075,76,7,6
1076,76,8,424
1077,76,9,7
1078,76,10,83
1079,76,11,425
1080,76,12,193
1081,76,13,198
1082,76,14,426
1083,76,15,197
1084,76,16,422
1085,76,17,427
1086,76,18,25
1087,76,19,9
1088,77,0,24
1089,77,1,66
1090,77,2,428
1091,77,3,429
1092,77,4,430
1093,77,5,91
1094,77,6,431
1095,77,7,432
1096,77,8,23
1097,78,0,0
1098,78,1,17
1099,78,2,60
1100,78,3,150
1101,78,4,433
1102,78,5,6
1103,78,6,434
1104,78,7,7
1105,78,8,23
1106,79,0,16
1107,79,1,66
1108,79,2,435
1109,79,3,436
1110,79,4,437
1111,79,5,6
1112,79,6,438
1113,79,7,7
1114,79,8,9
1115,80,0,16
1116,80,1,17
1117,80,2,4
1118,80,3,312
1119,80,4,439
1120,80,5,21
1121,80,6,440
1122,80,7,6
1123,80,8,441
1124,80,9,74
1125,80,10,7
1126,80,11,4
1127,80,12,325
1128,80,13,253
1129,80,14,6
1130,80,15,442
1131,80,16,7
1132,80,17,443
1133,80,18,4
1134,80,19,165
1135,80,20,4
1136,80,21,63
1137,80,22,6
1138,80,23,177
1139,80,24,7
1140,80,25,9
1141,81,0,24
1142,81,1,66
1143,81,2,6
1144,81,3,97
1145,81,4,444
1146,81,5,7
1147,81,6,6
1148,81,7,445
1149,81,8,7
1150,81,9,329
1151,81,10,15
1152,82,0,0
1153,82,1,10
1154,82,2,158
1155,82,3,209
1156,82,4,28
1157,82,5,446
1158,82,6,349
1159,82,7,447
1160,82,8,159
1161,82,9,6
1162,82,10,448
1163,82,11,449
1164,82,12,7
1165,82,13,450
1166,82,14,135
1167,82,15,451
1168,82,16,244
1169,82,17,109
1170,82,18,329
1171,82,19,6
1172,82,20,7
1173,82,21,452
1174,82,22,9
1175,83,0,0
1176,83,1,453
1177,83,2,454
1178,83,3,4
1179,83,4,6
1180,83,5,455
1181,83,6,7
1182,83,7,6
1183,83,8,7
1184,83,9,456
1185,83,10,15
1186,84,0,16
1187,84,1,1
1188,84,2,457
1189,84,3,417
1190,84,4,169
1191,84,5,101
1192,84,6,458
1193,84,7,459
1194,84,8,9
1195,85,0,47
1196,85,1,460
1197,85,2,461
1198,85,3,462
1199,85,4,463
1200,85,5,464
1201,85,6,65
1202,86,0,47
1203,86,1,465
1204,86,2,50
1205,86,3,51
1206,86,4,130
1207,86,5,52
1208,86,6,50
1209,86,7,283
1210,86,8,466
1211,86,9,222
1212,86,10,51
1213,86,11,98
1214,86,12,74
1215,86,13,52
1216,86,14,403
1217,86,15,467
1218,86,16,329
1219,86,17,51
1220,86,18,74
1221,86,19,130
1222,86,20,52
1223,86,21,468
1224,86,22,469
1225,86,23,65
1226,87,0,16
1227,87,1,10
1228,87,2,466
1229,87,3,470
1230,87,4,6
1231,87,5,212
1232,87,6,7
1233,87,7,471
1234,87,8,6
1235,87,9,38
1236,87,10,7
1237,87,11,472
1238,87,12,473
1239,87,13,109
1240,87,14,188
1241,87,15,265
1242,87,16,474
1243,87,17,475
1244,87,18,23
1245,88,0,16
1246,88,1,1
1247,88,2,301
1248,88,3,23
1249,89,0,24
1250,89,1,66
1251,89,2,476
1252,89,3,477
1253,89,4,478
1254,89,5,91
1255,89,6,30
1256,89,7,140
1257,89,8,302
1258,89,9,187
1259,89,10,6
1260,89,11,479
1261,89,12,335
1262,89,13,41
1263,89,14,7
1264,89,15,480
1265,89,16,481
1266,89,17,482
1267,89,18,483
1268,89,19,418
1269,89,20,40
1270,89,21,109
1271,89,22,6
1272,89,23,7
1273,89,24,6
1274,89,25,484
1275,89,26,7
1276,89,27,23
1277,90,0,24
1278,90,1,301
1279,90,2,485
1280,90,3,397
1281,90,4,109
1282,90,5,486
1283,90,6,6
1284,90,7,487
1285,90,8,488
1286,90,9,344
1287,90,10,7
1288,90,11,489
1289,90,12,206
1290,90,13,196
1291,90,14,91
1292,90,15,329
1293,90,16,6
1294,90,17,177
1295,90,18,7
1296,90,19,23
1297,91,0,24
1298,91,1,338
1299,91,2,298
1300,91,3,490
1301,91,4,255
1302,91,5,6
1303,91,6,7
1304,91,7,15
1305,92,0,0
1306,92,1,10
1307,92,2,210
1308,92,3,230
1309,92,4,274
1310,92,5,491
1311,92,6,6
1312,92,7,7
1313,92,8,9
1314,93,0,16
1315,93,1,17
1316,93,2,109
1317,93,3,492
1318,93,4,493
1319,93,5,494
1320,93,6,102
1321,93,7,288
1322,93,8,9
1323,94,0,24
1324,94,1,1
1325,94,2,60
1326,94,3,495
1327,94,4,496
1328,94,5,497
1329,94,6,154
1330,94,7,6
1331,94,8,7
1332,94,9,46
1333,94,10,6
1334,94,11,129
1335,94,12,7
1336,94,13,349
1337,94,14,165
1338,94,15,6
1339,94,16,498
1340,94,17,7
1341,94,18,499
1342,94,19,6
1343,94,20,322
1344,94,21,7
1345,94,22,6
1346,94,23,500
1347,94,24,7
1348,94,25,23
1349,95,0,0
1350,95,1,10
1351,95,2,501
1352,95,3,11
1353,95,4,28
1354,95,5,355
1355,95,6,21
1356,95,7,370
1357,95,8,71
1358,95,9,6
1359,95,10,32
1360,95,11,130
1361,95,12,502
1362,95,13,74
1363,95,14,130
1364,95,15,7
1365,95,16,503
1366,95,17,25
1367,95,18,165
1368,95,19,6
1369,95,20,504
1370,95,21,7
1371,95,22,505
1372,95,23,6
1373,95,24,7
1374,95,25,23
1375,96,0,0
1376,96,1,1
1377,96,2,506
1378,96,3,156
1379,96,4,89
1380,96,5,60
1381,96,6,165
1382,96,7,507
1383,96,8,6
1384,96,9,320
1385,96,10,508
1386,96,11,7
1387,96,12,509
1388,96,13,510
1389,96,14,511
1390,96,15,512
1391,96,16,6
1392,96,17,41
1393,96,18,322
1394,96,19,7
1395,96,20,315
1396,96,21,513
1397,96,22,15
1398,97,0,0
1399,97,1,17
1400,97,2,187
1401,97,3,514
1402,97,4,91
1403,97,5,515
1404,97,6,78
1405,97,7,9
1406,98,0,16
1407,98,1,1
1408,98,2,478
1409,98,3,516
1410,98,4,21
1411,98,5,26
1412,98,6,121
1413,98,7,6
1414,98,8,517
1415,98,9,74
1416,98,10,284
1417,98,11,7
1418,98,12,315
1419,98,13,253
1420,98,14,518
1421,98,15,519
1422,98,16,520
1423,98,17,276
1424,98,18,83
1425,98,19,456
1426,98,20,15
1427,99,0,16
1428,99,1,17
1429,99,2,187
1430,99,3,521
1431,99,4,6
1432,99,5,522
1433,99,6,7
1434,99,7,523
1435,99,8,9
1436,100,0,47
1437,100,1,460
1438,100,2,218
1439,100,3,50
1440,100,4,524
1441,100,5,109
1442,100,6,512
1443,100,7,221
1444,100,8,525
1445,100,9,51
1446,100,10,526
1447,100,11,52
1448,100,12,65
1449,101,0,24
1450,101,1,17
1451,101,2,6
1452,101,3,527
1453,101,4,528
1454,101,5,386
1455,101,6,529
1456,101,7,7
1457,101,8,63
1458,101,9,109
1459,101,10,9
1460,102,0,0
1461,102,1,191
1462,102,2,142
1463,102,3,229
1464,102,4,530
1465,102,5,6
1466,102,6,130
1467,102,7,531
1468,102,8,7
1469,102,9,532
1470,102,10,6
1471,102,11,7
1472,102,12,23
1473,103,0,16
1474,103,1,1
1475,103,2,533
1476,103,3,6
1477,103,4,534
1478,103,5,7
1479,103,6,535
1480,103,7,410
1481,103,8,83
1482,103,9,85
1483,103,10,536
1484,103,11,21
1485,103,12,6
1486,103,13,32
1487,103,14,7
1488,103,15,9
1489,104,0,0
1490,104,1,66
1491,104,2,477
1492,104,3,158
1493,104,4,537
1494,104,5,68
1495,104,6,359
1496,104,7,22
1497,104,8,23
1498,105,0,0
1499,105,1,66
1500,105,2,538
1501,105,3,113
1502,105,4,140
1503,105,5,539
1504,105,6,540
1505,105,7,9
1506,106,0,0
1507,106,1,66
1508,106,2,541
1509,106,3,153
1510,106,4,542
1511,106,5,211
1512,106,6,6
1513,106,7,160
1514,106,8,7
1515,106,9,9
1516,107,0,16
1517,107,1,17
1518,107,2,315
1519,107,3,543
1520,107,4,43
1521,107,5,6
1522,107,6,41
1523,107,7,7
1524,107,8,8
1525,107,9,325
1526,107,10,23
1527,108,0,16
1528,108,1,6
1529,108,2,544
1530,108,3,545
1531,108,4,7
1532,108,5,206
1533,108,6,546
1534,108,7,9
1535,109,0,16
1536,109,1,66
1537,109,2,45
1538,109,3,59
1539,109,4,6
1540,109,5,130
1541,109,6,7
1542,109,7,547
1543,109,8,3
1544,109,9,25
1545,109,10,389
1546,109,11,9
1547,110,0,16
1548,110,1,1
1549,110,2,133
1550,110,3,354
1551,110,4,548
1552,110,5,82
1553,110,6,549
1554,110,7,550
1555,110,8,6
1556,110,9,424
1557,110,10,508
1558,110,11,7
1559,110,12,551
1560,110,13,206
1561,110,14,6
1562,110,15,552
1563,110,16,7
1564,110,17,405
1565,110,18,6
1566,110,19,553
1567,110,20,7
1568,110,21,15
1569,111,0,0
1570,111,1,66
1571,111,2,6
1572,111,3,7
1573,111,4,554
1574,111,5,208
1575,111,6,290
1576,111,7,314
1577,111,8,555
1578,111,9,6
1579,111,10,260
1580,111,11,7
1581,111,12,453
1582,111,13,6
1583,111,14,556
1584,111,15,7
1585,111,16,557
1586,111,17,4
1587,111,18,453
1588,111,19,116
1589,111,20,203
1590,111,21,63
1591,111,22,520
1592,111,23,558
1593,111,24,9
1594,112,0,0
1595,112,1,66
1596,112,2,559
1597,112,3,560
1598,112,4,68
1599,112,5,25
1600,112,6,159
1601,112,7,6
1602,112,8,561
1603,112,9,562
1604,112,10,7
1605,112,11,563
1606,112,12,25
1607,112,13,564
1608,112,14,6
1609,112,15,130
1610,112,16,7
1611,112,17,336
1612,112,18,80
1613,112,19,6
1614,112,20,7
1615,112,21,23
1616,113,0,0
1617,113,1,1
1618,113,2,565
1619,113,3,429
1620,113,4,89
1621,113,5,183
1622,113,6,158
1623,113,7,566
1624,113,8,23
1625,114,0,0
1626,114,1,1
1627,114,2,193
1628,114,3,336
1629,114,4,150
1630,114,5,193
1631,114,6,6
1632,114,7,455
1633,114,8,7
1634,114,9,389
1635,114,10,60
1636,114,11,9
1637,115,0,24
1638,115,1,17
1639,115,2,408
1640,115,3,201
1641,115,4,168
1642,115,5,6
1643,115,6,344
1644,115,7,7
1645,115,8,412
1646,115,9,6
1647,115,10,434
1648,115,11,567
1649,115,12,568
1650,115,13,7
1651,115,14,569
1652,115,15,570
1653,115,16,417
1654,115,17,60
1655,115,18,6
1656,115,19,79
1657,115,20,7
